Asset,Initial_Weight,Optimal_Weight,Change,Expected_Return,Std_Dev,Skewness,Kurtosis
BBCA,0.25,0.24999948758299229,-5.124170077142054e-07,0.000276669902612861,0.014690645736473195,0.04020750737133322,2.8665084874368123
BBRI,0.25,0.24999184069705094,-8.159302949062308e-06,0.0005067321367929356,0.018938572736867117,0.14290846545535113,2.2300595250676176
BMRI,0.25,0.25000157296536846,1.57296536845708e-06,0.00019017508309010478,0.0181792383100537,-0.012220243041172855,3.0049528708927573
BBNI,0.25,0.2500070987545883,7.098754588319434e-06,0.0006013412346648,0.018951711324488585,-0.09751268740832453,3.295113825940997
