w1,w2,w3,w4,U
3.1532402051100997e-07,0.9999993595799174,2.0086705315083084e-07,1.2422900895864674e-07,-0.045004064281231854
3.153241530702232e-07,0.999999359579874,2.008669865333524e-07,1.2422898639085782e-07,-0.04500406428123182
3.1532419448956176e-07,0.9999993595798605,2.0086696599199202e-07,1.2422897902246585e-07,-0.04500406428123182
3.1532418720233117e-07,0.9999993595798629,2.008669696437394e-07,1.2422898024320193e-07,-0.045004064281231805
3.1532308997466374e-07,0.9999993595802211,2.0086752206924567e-07,1.2422916673453325e-07,-0.04500406428123202
3.1532419538415566e-07,0.9999993595798603,2.0086696554844888e-07,1.2422897888881027e-07,-0.04500406428123182
3.15324194753717e-07,0.9999993595798603,2.0086696583616395e-07,1.2422897897152428e-07,-0.045004064281231805
3.153241926592809e-07,0.9999993595798611,2.008669669131962e-07,1.2422897932617e-07,-0.04500406428123181
